# match_id, radiant_win
6.0000000000,0.4888614291
7.0000000000,0.5841743806
10.0000000000,0.4739900008
13.0000000000,0.6779065334
16.0000000000,0.3562394788
18.0000000000,0.5551716989
19.0000000000,0.5486953935
24.0000000000,0.5944104828
33.0000000000,0.3211654940
37.0000000000,0.5245266999
41.0000000000,0.5323977448
42.0000000000,0.6432720174
55.0000000000,0.3477360873
60.0000000000,0.5744038342
62.0000000000,0.6896570435
63.0000000000,0.4217621225
64.0000000000,0.3711241566
71.0000000000,0.5301721901
72.0000000000,0.5224688647
83.0000000000,0.5017782929
85.0000000000,0.6437962130
89.0000000000,0.6792709611
92.0000000000,0.5998594379
100.0000000000,0.6603036140
102.0000000000,0.6689551785
108.0000000000,0.5693948727
111.0000000000,0.6183399679
126.0000000000,0.3940131483
130.0000000000,0.2772659577
140.0000000000,0.6744325249
141.0000000000,0.5525082030
152.0000000000,0.6253889879
153.0000000000,0.4454246472
159.0000000000,0.5085969967
160.0000000000,0.6068607034
163.0000000000,0.5740334607
178.0000000000,0.4891612244
179.0000000000,0.5863342937
181.0000000000,0.5590170181
196.0000000000,0.3745982124
206.0000000000,0.3784348781
209.0000000000,0.5270668263
216.0000000000,0.5469301992
228.0000000000,0.4839404719
230.0000000000,0.4245441856
242.0000000000,0.6355161014
245.0000000000,0.4029858441
261.0000000000,0.4598478078
274.0000000000,0.5229161767
282.0000000000,0.5123586097
289.0000000000,0.4577312649
296.0000000000,0.3991469880
297.0000000000,0.4982267392
302.0000000000,0.5018899838
304.0000000000,0.3465896428
313.0000000000,0.6081963870
316.0000000000,0.5741949949
317.0000000000,0.5813800879
344.0000000000,0.5250411971
348.0000000000,0.5495455289
352.0000000000,0.6086407336
354.0000000000,0.4898034117
361.0000000000,0.6058608559
362.0000000000,0.4409367572
363.0000000000,0.6377721539
365.0000000000,0.5234877547
375.0000000000,0.5798428693
380.0000000000,0.5310281817
384.0000000000,0.5104502641
394.0000000000,0.5733489988
399.0000000000,0.5283598055
404.0000000000,0.6354898487
406.0000000000,0.5472216931
430.0000000000,0.3168233183
432.0000000000,0.4565278599
443.0000000000,0.5217172969
463.0000000000,0.4874101176
467.0000000000,0.6174973580
474.0000000000,0.4761590951
488.0000000000,0.4946700676
502.0000000000,0.5432769751
503.0000000000,0.4010996928
507.0000000000,0.4848366957
508.0000000000,0.3822235203
509.0000000000,0.4456017851
516.0000000000,0.4595293811
528.0000000000,0.4554372008
542.0000000000,0.5556720794
547.0000000000,0.3587990683
552.0000000000,0.6274679240
555.0000000000,0.5341260605
561.0000000000,0.6548456599
569.0000000000,0.5687231785
575.0000000000,0.6509865148
576.0000000000,0.7126056158
582.0000000000,0.3418655791
585.0000000000,0.5369541418
586.0000000000,0.4964029385
590.0000000000,0.6482259137
592.0000000000,0.4746918660
598.0000000000,0.3933175479
599.0000000000,0.4509551717
600.0000000000,0.5945175102
601.0000000000,0.4340440156
603.0000000000,0.4874351163
617.0000000000,0.6216738092
628.0000000000,0.5157886319
634.0000000000,0.3477208596
635.0000000000,0.3378007814
639.0000000000,0.4324584389
644.0000000000,0.5711495173
646.0000000000,0.5661857636
650.0000000000,0.3872190939
659.0000000000,0.6187107058
663.0000000000,0.6093445751
668.0000000000,0.5213800356
670.0000000000,0.4768495949
678.0000000000,0.5741021929
679.0000000000,0.4040980761
