match_id,radiant_win
6,0.826585548
7,0.748490731
10,0.188637133
13,0.857471966
16,0.23443913
18,0.38841356
19,0.512134171
24,0.547448847
33,0.204262008
37,0.674253822
41,0.161471907
42,0.308927086
55,0.211211214
60,0.670991299
62,0.543610555
63,0.628137365
64,0.094655381
71,0.494139634
72,0.313218181
83,0.482593559
85,0.789394543
89,0.925876448
92,0.736839477
100,0.957371121
102,0.887777393
108,0.539784996
111,0.772015711
126,0.194372846
130,0.049006185
140,0.784827061
141,0.264527589
152,0.834292056
153,0.752689607
159,0.548194081
160,0.58041512
163,0.584895969
178,0.571071869
179,0.374590474
181,0.666121619
196,0.153402745
206,0.114409124
209,0.541879773
216,0.580261219
228,0.076987658
230,0.410704998
242,0.707925744
245,0.171444467
261,0.50296467
274,0.4939934
282,0.722201148
289,0.518173744
296,0.096848737
297,0.608039663
302,0.315953318
304,0.024367198
313,0.788549048
316,0.483063635
317,0.413538488
344,0.879552577
348,0.750080696
352,0.507289664
354,0.55906121
361,0.433820753
362,0.216661759
363,0.733890793
365,0.395396221
375,0.304025614
380,0.342175282
384,0.519503197
394,0.775846473
399,0.60406214
404,0.710238091
406,0.630826833
430,0.150257643
432,0.303393693
443,0.452798157
463,0.607332067
467,0.519803759
474,0.167828492
488,0.228014711
502,0.91200143
503,0.263597327
507,0.309213228
508,0.41733475
509,0.457383467
516,0.348027863
528,0.276557062
542,0.621860571
547,0.169990419
552,0.56746479
555,0.630990351
561,0.621980758
569,0.812658441
575,0.946644288
576,0.816264671
582,0.186986242
585,0.440570449
586,0.546979542
590,0.778781726
592,0.230564526
598,0.410756905
599,0.256392264
600,0.706185023
601,0.551520646
603,0.31772666
617,0.461086637
628,0.477197953
634,0.13405215
635,0.303958783
639,0.44428756
644,0.642107577
646,0.760861361
650,0.088693548
659,0.825416037
663,0.377792187
668,0.67021638
670,0.410794958
678,0.41183115
679,0.261461757
686,0.78621571
694,0.275114199
696,0.882966624
702,0.893015609
709,0.37166827
712,0.356368582
723,0.232779598
729,0.433488154
733,0.764048799
735,0.387329479
737,0.384130435
749,0.700747986
752,0.473318582
767,0.918918324
771,0.117966909
778,0.479836991
780,0.746616931
790,0.497946859
797,0.375338954
802,0.30440172
805,0.703171186
807,0.758094799
808,0.837603872
811,0.349859156
815,0.142020683
820,0.75604622
838,0.15401958
861,0.147909706
886,0.230828853
889,0.111011132
904,0.650938846
913,0.437657934
928,0.723810223
931,0.622434628
932,0.664066681
945,0.747364329
953,0.848441992
955,0.348077139
970,0.54089939
972,0.405463663
978,0.572627601
982,0.791259599
983,0.698078837
984,0.346617047
987,0.537445513
1000,0.627117635
1006,0.561250342
1014,0.746803931
1030,0.529566076
1037,0.712151023
1044,0.588364034
1046,0.803788379
1048,0.434405831
1053,0.871282731
1057,0.690701374
